CustomerID,CustomerName,City,State,CustomerType
C0001,Vikas Iyer,Ahmedabad,Gujarat,Regular
C0002,Amit Sharma,Surat,Gujarat,Regular
C0003,Anjali Patel,Hyderabad,Telangana,Premium
C0004,Neha Joshi,Surat,Gujarat,Premium
C0005,Priya Iyer,Delhi,Delhi,Premium
C0006,Karan Joshi,Chennai,Tamil Nadu,Regular
C0007,Vikas Mehta,Chennai,Tamil Nadu,Premium
C0008,Priya Singh,Ahmedabad,Gujarat,Regular
C0009,Rohit Nair,Surat,Gujarat,Regular
C0010,Sneha Joshi,Chennai,Tamil Nadu,Regular
C0011,Pooja Mehta,Hyderabad,Telangana,Premium
C0012,Arjun Kumar,Bengaluru,Karnataka,Regular
C0013,Rahul Kumar,Jaipur,Rajasthan,Regular
C0014,Karan Kumar,Chennai,Tamil Nadu,Premium
C0015,Kavita Patel,Jaipur,Rajasthan,Regular
C0016,Anjali Patel,Delhi,Delhi,Premium
C0017,Sneha Mehta,Kolkata,West Bengal,Regular
C0018,Rahul Sharma,Pune,Maharashtra,Premium
C0019,Rohit Joshi,Chennai,Tamil Nadu,Regular
C0020,Vikas Iyer,Ahmedabad,Gujarat,Premium
C0021,Vikas Patel,Hyderabad,Telangana,Premium
C0022,Rahul Verma,Bengaluru,Karnataka,Regular
C0023,Amit Kumar,Chennai,Tamil Nadu,Premium
C0024,Sneha Verma,Delhi,Delhi,Regular
C0025,Rahul Iyer,Mumbai,Maharashtra,Regular
C0026,Priya Iyer,Surat,Gujarat,Regular
C0027,Neha Mehta,Delhi,Delhi,Regular
C0028,Kavita Mehta,Jaipur,Rajasthan,Premium
C0029,Arjun Kumar,Jaipur,Rajasthan,Premium
C0030,Sneha Joshi,Delhi,Delhi,Premium
C0031,Priya Iyer,Ahmedabad,Gujarat,Premium
C0032,Vikas Nair,Bengaluru,Karnataka,Premium
C0033,Priya Kumar,Chennai,Tamil Nadu,Regular
C0034,Rohit Mehta,Kolkata,West Bengal,Regular
C0035,Rohit Iyer,Pune,Maharashtra,Regular
C0036,Pooja Patel,Pune,Maharashtra,Regular
C0037,Amit Verma,Pune,Maharashtra,Regular
C0038,Rohit Gupta,Ahmedabad,Gujarat,Regular
C0039,Arjun Verma,Mumbai,Maharashtra,Regular
C0040,Anjali Gupta,Hyderabad,Telangana,Regular
C0041,Rahul Joshi,Kolkata,West Bengal,Premium
C0042,Arjun Nair,Kolkata,West Bengal,Premium
C0043,Rohit Gupta,Jaipur,Rajasthan,Premium
C0044,Priya Mehta,Delhi,Delhi,Regular
C0045,Rahul Singh,Bengaluru,Karnataka,Premium
C0046,Priya Iyer,Hyderabad,Telangana,Regular
